시장,종목코드,종목명,업종,가격,당일등락률,시가총액,거래량,거래대금,1주수익률,1개월수익률,3개월수익률,6개월수익률,이상치상태,1단계점수,점수식버전
한국,217190,제너셈,Industrials,7520,3.58,98916282720,122697,917582380,9.9415,17.6839,46.0194,24.9169,없음,2.25485440,MSS7-S1-1.0.0
한국,086790,하나금융지주,Financials,133100,-2.13,36066095021000,648296,86391731820,-2.6335,3.4188,16.5499,24.9765,없음,2.24360808,MSS7-S1-1.0.0
한국,332570,PS일렉트로닉스,Technology,8830,0.8,405655524490,1298694,11456121240,4.3735,1.8454,48.1544,63.8219,없음,2.23419666,MSS7-S1-1.0.0
한국,420770,기가비스,Industrials,123100,3.01,1560385809800,107431,13070939500,16.3516,17.6864,-20.9884,75.8571,없음,2.22769725,MSS7-S1-1.0.0
한국,098120,마이크로컨텍솔,Technology,58000,1.93,482140428000,260298,15588447250,16.0000,49.2921,136.7347,122.2222,미검증,2.22207321,MSS7-S1-1.0.0
한국,396300,HT로보틱스,Industrials,6010,29.95,159201895000,12897056,71363086667,28.6938,39.1204,73.1988,59.2053,미검증,2.21879512,MSS7-S1-1.0.0
한국,027580,상보,Materials,1822,-3.19,21565656610,72736,132980669,1.5042,13.7328,42.6782,214.1379,없음,2.20848640,MSS7-S1-1.0.0
한국,042700,한미반도체,Industrials,243500,1.46,23208520700000,369301,89109822750,7.7434,16.5072,-9.8148,-17.8752,없음,2.19869140,MSS7-S1-1.0.0
한국,086390,유니테스트,Industrials,13300,8.22,281083875800,300980,3923752410,14.2612,36.5503,7.7796,-25.6983,없음,2.19806675,MSS7-S1-1.0.0
한국,000520,삼일제약,Healthcare,8100,2.4,175703669100,109029,862780740,15.2205,29.8077,25.3870,-18.9189,없음,2.19727465,MSS7-S1-1.0.0
한국,006400,삼성SDI,Other,521000,-1.51,41985061130000,376430,195422763000,-4.2279,1.1650,6.5440,31.0692,없음,2.19625996,MSS7-S1-1.0.0
한국,489460,바이오비쥬,Materials,11960,5.75,176449312520,78288,916186350,3.2815,12.4060,116.2749,39.8830,없음,2.19372799,MSS7-S1-1.0.0
한국,062970,한국첨단소재,Technology,3080,3.18,92777062840,3146762,9665202040,-8.7407,31.6239,108.5308,31.3433,없음,2.19140491,MSS7-S1-1.0.0
한국,052860,아이앤씨,Technology,6790,-0.73,121315938660,22755,155523760,-2.3022,23.9051,67.6543,71.2484,없음,2.19089829,MSS7-S1-1.0.0
한국,071200,인피니트헬스케어,Technology,11820,-1.42,288366133560,48365,576330100,-9.0769,25.7447,81.8462,86.4353,없음,2.18768648,MSS7-S1-1.0.0
한국,013030,하이록코리아,Materials,37700,-0.26,443659028800,38715,1464058525,10.7195,21.8094,19.4929,4.1436,없음,2.18350466,MSS7-S1-1.0.0
한국,375500,DL이앤씨,Industrials,80900,-5.05,3130314100700,368951,29918971800,-7.2248,17.9300,30.6947,34.1625,없음,2.18134811,MSS7-S1-1.0.0
한국,263860,지니언스,Technology,18370,3.38,166792252000,360857,6613111955,-6.6565,32.0633,50.0817,35.4720,없음,2.17082151,MSS7-S1-1.0.0
한국,140070,서플러스글로벌,Industrials,2195,1.86,81188660000,138740,302772402,9.2040,20.0109,38.9241,14.1446,없음,2.16409160,MSS7-S1-1.0.0
한국,020560,아시아나항공,Industrials,8360,-0.12,1722082343960,276249,2326716815,6.9054,18.2461,15.1515,19.4286,없음,2.14709124,MSS7-S1-1.0.0
한국,307870,비투엔,Technology,1279,7.57,95028785515,769796,940390082,8.0236,29.1919,21.8095,9.4098,없음,2.14525720,MSS7-S1-1.0.0
한국,462860,더즌,Technology,3075,3.54,220686916725,2941878,9021838834,19.8830,8.8496,45.3901,-7.0997,없음,2.13752274,MSS7-S1-1.0.0
한국,036540,SFA반도체,Technology,10570,-0.47,1738345402710,6183347,64581612360,18.4978,96.1039,71.8699,54.9853,미검증,2.13602558,MSS7-S1-1.0.0
한국,042510,라온시큐어,Technology,10950,2.24,121608816600,754776,8395290305,-9.6535,41.4729,50.8264,21.8020,없음,2.13044527,MSS7-S1-1.0.0
