시장,종목코드,종목명,현재실행점수,추세근거,유동성근거,이전추천우선권,상태
미국,DVN,Devon Energy Corporation Common Stock,2.010907,최근일변화=1.79,시가총액=53790000000;거래량=17590827,없음,2단계
미국,WMT,Walmart Inc. Common Stock,2.008613,최근일변화=-2.66,시가총액=853591758069;거래량=26173992,없음,2단계
미국,PM,Philip Morris International Inc Common Stock,2.003843,최근일변화=0.346,시가총액=298474473569;거래량=3151332,없음,2단계
미국,ANET,Arista Networks Inc. Common Stock,2.001671,최근일변화=1.096,시가총액=259433910094;거래량=3559074,없음,2단계
미국,COP,ConocoPhillips Common Stock,1.988649,최근일변화=0.976,시가총액=155380989534;거래량=5362096,없음,2단계
미국,AXP,American Express Company Common Stock,1.984685,최근일변화=1.225,시가총액=206415203555;거래량=3955312,없음,2단계
미국,ABNB,Airbnb Inc. Class A Common Stock,1.980939,최근일변화=1.21,시가총액=90650164398;거래량=8597733,없음,2단계
미국,OXY,Occidental Petroleum Corporation Common Stock,1.937643,최근일변화=1.203,시가총액=58028949387;거래량=9848599,없음,2단계
미국,TMO,Thermo Fisher Scientific Inc Common Stock,1.920400,최근일변화=1.968,시가총액=250832861350;거래량=2097970,없음,2단계
미국,CVNA,Carvana Co. Class A Common Stock,1.915364,최근일변화=0.36,시가총액=70627764759;거래량=6971754,없음,2단계
미국,MRK,Merck & Company Inc. Common Stock (new),1.903906,최근일변화=-0.068,시가총액=365092058991;거래량=10312766,없음,2단계
미국,WELL,Welltower Inc. Common Stock,1.903383,최근일변화=1.627,시가총액=168373228003;거래량=2751259,없음,2단계
미국,COF,Capital One Financial Corporation Common Stock,1.898729,최근일변화=0.26,시가총액=120617253606;거래량=3688181,없음,2단계
미국,GEV,GE Vernova Inc. Common Stock,1.890524,최근일변화=0.338,시가총액=254359223198;거래량=1683690,없음,2단계
미국,VLO,Valero Energy Corporation Common Stock,1.887534,최근일변화=1.868,시가총액=110235907718;거래량=3726796,없음,2단계
미국,COIN,Coinbase Global Inc. Class A Common Stock,1.881971,최근일변화=0.545,시가총액=52558953431;거래량=7383844,없음,2단계
미국,KHC,The Kraft Heinz Company Common Stock,1.881539,최근일변화=0.294,시가총액=28293754866;거래량=13465411,없음,2단계
미국,PYPL,PayPal Holdings Inc. Common Stock,1.881036,최근일변화=0.171,시가총액=44997241972;거래량=8535955,없음,2단계
미국,MRVL,Marvell Technology Inc. Common Stock,1.875056,최근일변화=-0.747,시가총액=227073255000;거래량=13424764,없음,2단계
미국,TFC,Truist Financial Corporation Common Stock,1.873655,최근일변화=0.383,시가총액=57636323550;거래량=6372158,없음,2단계
미국,KEY,KeyCorp Common Stock,1.873382,최근일변화=0.049,시가총액=21609353219;거래량=16552715,없음,2단계
미국,LRCX,Lam Research Corporation Common Stock,1.872654,최근일변화=-0.039,시가총액=384355758360;거래량=7904001,없음,2단계
미국,BNY,The Bank of New York Mellon Corporation Common Stock,1.869192,최근일변화=0.455,시가총액=101904537087;거래량=3544771,없음,2단계
미국,BRK/B,Berkshire Hathaway Inc.,1.867765,최근일변화=-0.392,시가총액=1114584378402;거래량=2706197,없음,2단계
미국,DAL,Delta Air Lines Inc. Common Stock,1.862911,최근일변화=1.235,시가총액=54424881963;거래량=6256485,없음,2단계
미국,DDOG,Datadog Inc. Class A Common Stock,1.852876,최근일변화=2.159,시가총액=92253555166;거래량=3489556,없음,2단계
미국,PG,Procter & Gamble Company (The) Common Stock,1.845840,최근일변화=-1.16,시가총액=338623408181;거래량=7430961,없음,2단계
미국,ORLY,O'Reilly Automotive Inc. Common Stock,1.845355,최근일변화=0.396,시가총액=69764778702;거래량=4350290,없음,2단계
미국,KR,Kroger Company (The) Common Stock,1.836970,최근일변화=2.221,시가총액=34797486204;거래량=8089118,없음,2단계
미국,VTRS,Viatris Inc. Common Stock,1.835609,최근일변화=1.752,시가총액=20008452851;거래량=13744943,없음,2단계
미국,CRWD,CrowdStrike Holdings Inc. Class A Common Stock,1.829440,최근일변화=-1.074,시가총액=265885160422;거래량=8399301,없음,2단계
미국,EQT,EQT Corporation Common Stock,1.827933,최근일변화=1.586,시가총액=32445514920;거래량=8136207,없음,2단계
미국,SYY,Sysco Corporation Common Stock,1.827153,최근일변화=1.361,시가총액=38462752532;거래량=6855586,없음,2단계
미국,CTAS,Cintas Corporation Common Stock,1.827128,최근일변화=2.974,시가총액=78976474501;거래량=3398787,없음,2단계
미국,NKE,Nike Inc. Common Stock,1.825998,최근일변화=-0.166,시가총액=53391118321;거래량=39238510,없음,2단계
미국,UBER,Uber Technologies Inc. Common Stock,1.819135,최근일변화=-0.288,시가총액=141386011576;거래량=14479710,없음,2단계
미국,ICE,Intercontinental Exchange Inc. Common Stock,1.808353,최근일변화=0.371,시가총액=88099636845;거래량=2683552,없음,2단계
미국,KLAC,KLA Corporation Common Stock,1.806696,최근일변화=-0.399,시가총액=244179764718;거래량=7799579,없음,2단계
미국,MPC,Marathon Petroleum Corporation Common Stock,1.803299,최근일변화=0.662,시가총액=109788441095;거래량=2091003,없음,2단계
미국,ISRG,Intuitive Surgical Inc. Common Stock,1.796854,최근일변화=0.306,시가총액=141141641742;거래량=1565480,없음,2단계
미국,MET,MetLife Inc. Common Stock,1.794380,최근일변화=0.051,시가총액=61800131151;거래량=3442899,없음,2단계
미국,FISV,Fiserv Inc. Common Stock,1.788345,최근일변화=0.065,시가총액=24450633832;거래량=8155509,없음,2단계
미국,HWM,Howmet Aerospace Inc. Common Stock,1.786738,최근일변화=0.262,시가총액=91477064903;거래량=2228095,없음,2단계
미국,EOG,EOG Resources Inc. Common Stock,1.784906,최근일변화=0.719,시가총액=74934238083;거래량=2672414,없음,2단계
미국,SOFI,SoFi Technologies Inc. Common Stock,1.784813,최근일변화=1.511,시가총액=21698381443;거래량=50283303,없음,2단계
미국,MS,Morgan Stanley Common Stock,1.780897,최근일변화=-1.043,시가총액=308333574445;거래량=5198700,없음,2단계
