시장,종목코드,종목명,업종,1단계선별점수,2단계선별점수,지속성,업종내상대순위,추가검증,산식버전
미국,JPM,JP Morgan Chase & Co. Common Stock,Finance,0.9666887794,0.9589463964,광역 다기간자료 없음,0.9750,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,LLY,Eli Lilly and Company Common Stock,Health Care,0.9896417741,0.9587673753,광역 다기간자료 없음,1.0000,당일안정성=0.80;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,0.9624431387,0.9490780607,광역 다기간자료 없음,0.8727,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,META,Meta Platforms Inc. Class A Common Stock,Technology,0.9957259287,0.9478629644,광역 다기간자료 없음,1.0000,당일안정성=0.50;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,CSCO,Cisco Systems Inc. Common Stock (DE),Telecommunications,0.9706690675,0.9476255036,광역 다기간자료 없음,0.8750,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,XOM,ExxonMobil Holdings Corporation Common Stock,Energy,0.9709628506,0.9460722837,광역 다기간자료 없음,0.9167,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,UNH,UnitedHealth Group Incorporated Common Stock (DE),Health Care,0.9747346475,0.9458384179,광역 다기간자료 없음,0.9429,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,BAC,Bank of America Corporation Common Stock,Finance,0.9593442002,0.9446052104,광역 다기간자료 없음,0.9250,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,NFLX,Netflix Inc. Common Stock,Consumer Discretionary,0.9680818802,0.9424477507,광역 다기간자료 없음,0.9091,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,INTC,Intel Corporation Common Stock,Technology,0.9938874147,0.9410423156,광역 다기간자료 없음,0.9839,당일안정성=0.50;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
