market,symbol,name,level1_score,direct_trend_evidence,liquidity_evidence,status
KR,036810,에프에스티,0.758578,r1w=19.3117;r1m=38.0531;r3m=18.1818;r6m=-26.0664,trading_value=4182082600,L2_PASS
KR,112610,씨에스윈드,0.758297,r1w=-4.5714;r1m=6.2566;r3m=20.4327;r6m=-18.4039,trading_value=9725583700,L2_PASS
KR,001430,세아베스틸지주,0.753349,r1w=2.4277;r1m=5.9809;r3m=28.5922;r6m=-35.7039,trading_value=5244865175,L2_PASS
KR,012750,에스원,0.752241,r1w=0.4825;r1m=5.0441;r3m=16.1785;r6m=-4.3628,trading_value=2863662350,L2_PASS
KR,014620,성광벤드,0.750159,r1w=-4.0625;r1m=26.8595;r3m=8.4806;r6m=-10.2339,trading_value=6184411675,L2_PASS
KR,347700,스피어,0.749444,r1w=14.4963;r1m=1.0846;r3m=8.8785;r6m=-45.8140,trading_value=44120321375,L2_PASS
KR,000150,두산,0.847970,r1w=9.0123;r1m=39.3548;r3m=-2.1359;r6m=31.3640,trading_value=118116220500,L2_PASS
KR,017800,현대엘리베이터,0.747778,r1w=1.2363;r1m=0.2721;r3m=2.3611;r6m=-14.6002,trading_value=4966017450,L2_PASS
KR,138080,오이솔루션,0.746134,r1w=9.8837;r1m=20.1271;r3m=4.0367;r6m=-16.8622,trading_value=9781929150,L2_PASS
KR,437730,삼현,0.840827,r1w=4.8485;r1m=61.4308;r3m=32.3980;r6m=0.5814,trading_value=21317535800,L2_PASS
KR,217590,티엠씨,0.739365,r1w=8.8906;r1m=27.0390;r3m=0.9866;r6m=-40.7851,trading_value=10321084605,L2_PASS
US,AMD,Advanced Micro Devices Inc. Common Stock,0.965786,bulk_daily_change=2.384;cross_section_score=0.965786,volume=25319550;market_cap=1027251244929,L2_PASS
US,LLY,Eli Lilly and Company Common Stock,0.965746,bulk_daily_change=2.685;cross_section_score=0.965746,volume=2418807;market_cap=1112580501553,L2_PASS
US,V,Visa Inc.,0.959686,bulk_daily_change=1.787;cross_section_score=0.959686,volume=4417589;market_cap=657490187696,L2_PASS
US,GOOGL,Alphabet Inc. Class A Common Stock,0.959169,bulk_daily_change=1.341;cross_section_score=0.959169,volume=23777396;market_cap=4187062800000,L2_PASS
US,TMO,Thermo Fisher Scientific Inc Common Stock,0.957804,bulk_daily_change=1.968;cross_section_score=0.957804,volume=2097970;market_cap=250832861350,L2_PASS
US,GOOG,Alphabet Inc. Class C Capital Stock,0.956994,bulk_daily_change=1.203;cross_section_score=0.956994,volume=15965035;market_cap=4146092300000,L2_PASS
US,DIS,Walt Disney Company (The) Common Stock,0.952971,bulk_daily_change=2.03;cross_section_score=0.952971,volume=7886127;market_cap=182269069375,L2_PASS
US,VZ,Verizon Communications Inc. Common Stock,0.952879,bulk_daily_change=1.72;cross_section_score=0.952879,volume=21043704;market_cap=196603962559,L2_PASS
