시장,종목코드,종목명,업종,1단계점수,2단계점수,이상치상태,2단계핵심,점수식버전
한국,054920,한컴위드,Technology,1.82010831,1.96258477,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,039010,현대에이치티,Technology,1.70786040,1.94520385,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,049430,코메론,Technology,1.70000497,1.94166890,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,054220,비츠로시스,Utilities,2.02671533,1.92535523,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,007610,선도전기,Utilities,2.01899667,1.92188183,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,232140,와이씨,Industrials,2.74286881,1.91905152,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
한국,089790,제이티,Industrials,2.67636680,1.91769839,없음,다기간 지속성·유동성 지속성·업종주도력·과열벌점,MSS7-S2-KR-1.0.0
미국,NVDA,NVIDIA Corporation Common Stock,Technology,2.48369156,2.71752009,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,2.56860111,2.59953525,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,GOOGL,Alphabet Inc. Class A Common Stock,Technology,2.57862761,2.58003992,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,AMD,Advanced Micro Devices Inc. Common Stock,Technology,2.40465500,2.51130434,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,BAC,Bank of America Corporation Common Stock,Finance,2.34881414,2.50740463,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,GOOG,Alphabet Inc. Class C Capital Stock,Technology,2.51968165,2.49296620,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,MU,Micron Technology Inc. Common Stock,Technology,2.40721397,2.49157913,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,AAPL,Apple Inc. Common Stock,Technology,2.30488553,2.46284739,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,PLTR,Palantir Technologies Inc. Class A Common Stock,Technology,2.28475351,2.44058709,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,NFLX,Netflix Inc. Common Stock,Consumer Discretionary,2.25941656,2.43645426,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,PFE,Pfizer Inc. Common Stock,Health Care,2.20988449,2.39589055,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,CSCO,Cisco Systems Inc. Common Stock (DE),Telecommunications,2.32419252,2.39240016,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,WBD,Warner Bros. Discovery Inc. Series A Common Stock,Telecommunications,2.15460555,2.36990175,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,SMCI,Super Micro Computer Inc. Common Stock,Technology,1.97825715,2.36814173,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,AVGO,Broadcom Inc. Common Stock,Technology,2.14060429,2.36354701,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,MSFT,Microsoft Corporation Common Stock,Technology,2.21090786,2.36047435,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,T,AT&T Inc.,Telecommunications,2.21720966,2.35273267,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,TSLA,Tesla Inc. Common Stock,Industrials,2.15810558,2.33535776,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,HPE,Hewlett Packard Enterprise Company Common Stock,Technology,2.05507714,2.32894667,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,INTC,Intel Corporation Common Stock,Technology,2.57399903,2.29629957,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,NKE,Nike Inc. Common Stock,Consumer Discretionary,1.78281154,2.27206457,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,VZ,Verizon Communications Inc. Common Stock,Telecommunications,2.16245174,2.25419605,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,HBAN,Huntington Bancshares Incorporated Common Stock,Finance,1.73687224,2.25182740,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,APH,Amphenol Corporation Common Stock,Technology,2.08299040,2.24936823,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,CRM,Salesforce Inc. Common Stock,Technology,2.06914775,2.23462253,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,SPCX,Space Exploration Technologies Corp. Class A Common Stock,Technology,2.09479399,2.23223973,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,XOM,ExxonMobil Holdings Corporation Common Stock,Energy,2.24597589,2.22442463,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,WFC,Wells Fargo & Company Common Stock,Finance,2.11448164,2.21818789,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,BMY,Bristol-Myers Squibb Company Common Stock,Health Care,2.05414784,2.19701067,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,PCG,Pacific Gas & Electric Co. Common Stock,Utilities,1.73228631,2.19201899,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,KO,Coca-Cola Company (The) Common Stock,Consumer Staples,2.18012896,2.19090239,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,BSX,Boston Scientific Corporation Common Stock,Health Care,1.98936992,2.19051102,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,JPM,JP Morgan Chase & Co. Common Stock,Finance,2.20008932,2.17055436,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,CCL,Carnival Corporation Ltd. Common Shares,Consumer Discretionary,1.66075832,2.16855451,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,DVN,Devon Energy Corporation Common Stock,Energy,1.96763922,2.15128784,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,MRVL,Marvell Technology Inc. Common Stock,Technology,1.81615202,2.15003574,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,BKNG,Booking Holdings Inc. Common Stock,Consumer Discretionary,1.98113310,2.14573860,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,NCLH,Norwegian Cruise Line Holdings Ltd. Ordinary Shares,Consumer Discretionary,1.71656598,2.14544754,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,KEY,KeyCorp Common Stock,Finance,1.84001561,2.14061126,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,C,Citigroup Inc. Common Stock,Finance,2.04931519,2.13612486,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,CVX,Chevron Corporation Common Stock,Energy,2.14018080,2.13347860,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,DIS,Walt Disney Company (The) Common Stock,Consumer Discretionary,2.01050182,2.13062814,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,TJX,TJX Companies Inc. (The) Common Stock,Consumer Discretionary,1.98499367,2.12385824,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,UBER,Uber Technologies Inc. Common Stock,Consumer Discretionary,1.76537522,2.11268480,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,ABNB,Airbnb Inc. Class A Common Stock,Consumer Discretionary,1.93200523,2.10843674,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,JNJ,Johnson & Johnson Common Stock,Health Care,2.14466113,2.10743838,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,ONDS,Ondas Inc. Common Stock,Technology,1.66347810,2.08656514,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,V,Visa Inc.,Consumer Discretionary,2.09376189,2.08000771,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
미국,VTRS,Viatris Inc. Common Stock,Health Care,1.80307837,2.07173530,없음,유동성 지속성·업종주도력·당일변화 안정성·대형지수 포함,MSS7-S2-US-1.0.0
