market,symbol,name,level1_score,screen_evidence,status
KR,028260,삼성물산,0.817743,r1m=0.6859;r3m=-23.7799;r6m=30.3730;liquidity=102096058500,L2_PASS
KR,004710,한솔테크닉스,0.815414,r1m=46.0177;r3m=-15.8879;r6m=105.6075;liquidity=4753237480,L2_PASS
KR,006260,LS,0.813301,r1m=11.4385;r3m=-9.0523;r6m=16.2749;liquidity=23411934750,L2_PASS
KR,032830,삼성생명,0.812244,r1m=3.1524;r3m=-31.9861;r6m=32.6577;liquidity=65745880000,L2_PASS
KR,298040,효성중공업,0.811822,r1m=3.7249;r3m=-13.6296;r6m=7.2195;liquidity=78971822000,L2_PASS
KR,033640,네패스,0.808682,r1m=43.9750;r3m=-2.1277;r6m=49.6746;liquidity=4802065350,L2_PASS
KR,046970,우리로,0.805107,r1m=84.8131;r3m=30.7438;r6m=72.8962;liquidity=95135681205,L2_PASS
KR,058610,에스피지,0.800007,r1m=7.1277;r3m=25.5611;r6m=-11.5114;liquidity=36610953750,L2_PASS
KR,003670,포스코퓨처엠,0.798200,r1m=5.2662;r3m=1.0107;r6m=-8.4012;liquidity=103101673800,L2_PASS
KR,080220,제주반도체,0.797137,r1m=6.5934;r3m=-31.2666;r6m=83.2349;liquidity=70673564200,L2_PASS
KR,420770,기가비스,0.795290,r1m=17.6864;r3m=-20.9884;r6m=75.8571;liquidity=13070939500,L2_PASS
KR,024110,기업은행,0.792653,r1m=0.9901;r3m=1.2407;r6m=-11.8790;liquidity=30601138000,L2_PASS
KR,098460,고영,0.789538,r1m=6.9725;r3m=-6.1192;r6m=5.6159;liquidity=21166620900,L2_PASS
US,AMD,Advanced Micro Devices Inc. Common Stock,0.965786,bulk_pct=2.384;market_cap=1027251244929;volume=25319550,L2_PASS
US,LLY,Eli Lilly and Company Common Stock,0.965746,bulk_pct=2.685;market_cap=1112580501553;volume=2418807,L2_PASS
US,V,Visa Inc.,0.959686,bulk_pct=1.787;market_cap=657490187696;volume=4417589,L2_PASS
US,GOOGL,Alphabet Inc. Class A Common Stock,0.959169,bulk_pct=1.341;market_cap=4187062800000;volume=23777396,L2_PASS
US,TMO,Thermo Fisher Scientific Inc Common Stock,0.957804,bulk_pct=1.968;market_cap=250832861350;volume=2097970,L2_PASS
US,GOOG,Alphabet Inc. Class C Capital Stock,0.956994,bulk_pct=1.203;market_cap=4146092300000;volume=15965035,L2_PASS
US,DIS,Walt Disney Company (The) Common Stock,0.952971,bulk_pct=2.03;market_cap=182269069375;volume=7886127,L2_PASS
US,VZ,Verizon Communications Inc. Common Stock,0.952879,bulk_pct=1.72;market_cap=196603962559;volume=21043704,L2_PASS
US,VLO,Valero Energy Corporation Common Stock,0.952822,bulk_pct=1.868;market_cap=110235907718;volume=3726796,L2_PASS
US,MU,Micron Technology Inc. Common Stock,0.951477,bulk_pct=0.807;market_cap=1220343181450;volume=22070294,L2_PASS
US,MA,Mastercard Incorporated Common Stock,0.950855,bulk_pct=1.1;market_cap=495891706835;volume=2165628,L2_PASS
US,UNH,UnitedHealth Group Incorporated Common Stock (DE),0.949855,bulk_pct=1.002;market_cap=336607043573;volume=4652207,L2_PASS
US,HPE,Hewlett Packard Enterprise Company Common Stock,0.949677,bulk_pct=1.909;market_cap=84320562762;volume=21472929,L2_PASS
US,DDOG,Datadog Inc. Class A Common Stock,0.949603,bulk_pct=2.159;market_cap=92253555166;volume=3489556,L2_PASS
US,AXP,American Express Company Common Stock,0.949299,bulk_pct=1.225;market_cap=206415203555;volume=3955312,L2_PASS
US,SNPS,Synopsys Inc. Common Stock,0.948945,bulk_pct=2.869;market_cap=81428327252;volume=1716358,L2_PASS
US,CTAS,Cintas Corporation Common Stock,0.948177,bulk_pct=2.974;market_cap=78976474501;volume=3398787,L2_PASS
